Player ID,Overall Pick,Games,Minutes Played,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game
479,6,272,6038,0.78,22.2,7.9,4.9
480,56,685,16061,0.791,23.4,10.4,2.7
481,39,68,792,0.86,11.6,2.7,1.8
482,1,694,19728,0.556,28.4,9.8,8.7
483,36,669,16346,0.77,24.4,10.9,5.9
484,8,429,11882,0.815,27.7,11.2,3.1
485,43,671,14527,0.716,21.6,6.3,2.7
486,13,89,854,0.659,9.6,3.5,1.5
487,34,527,7793,0.498,14.8,4.7,4.4
488,42,487,11077,0.725,22.7,9.9,2.1
489,48,1,6,,6,4,1
490,15,151,2178,0.738,14.4,5.6,2.9
491,43,629,20104,0.838,32,19,3.8
492,49,341,5289,0.788,15.5,4.8,1.7
494,7,61,1848,0.867,30.3,14.8,7.6
495,5,130,2858,0.69,22,7.6,3
496,1,239,8306,0.834,34.8,21.4,11.6
497,36,30,225,0.724,7.5,2.1,1.9
498,13,230,6601,0.82,28.7,14,3
499,40,164,2398,0.705,14.6,4.3,2.3
500,44,113,1794,0.781,15.9,5.2,2.1
501,9,296,7169,0.792,24.2,10.8,2.1
502,26,295,6651,0.467,22.5,4.6,4
503,52,76,948,0.684,12.5,3,1.5
504,58,98,1397,0.867,14.3,3.9,2.7
505,2,428,8864,0.71,20.7,8.9,4
506,20,248,4553,0.6,18.4,7.4,3.8
507,4,563,12822,0.744,22.8,7.2,3.3
508,16,378,5299,0.747,14,4.8,2.2
509,23,525,10777,0.633,20.5,6.9,5.5
510,56,33,157,0.462,4.8,0.6,0.8
511,5,423,13305,0.834,31.5,10.7,4.3
512,6,163,3738,0.809,22.9,9.2,1.9
513,18,551,16088,0.77,29.2,12.7,2.7
514,28,584,12227,0.85,20.9,8,2.2
515,45,129,2011,0.581,15.6,4.6,1.9
516,3,547,16919,0.82,30.9,13.8,3.1
517,31,271,6744,0.76,24.9,12.6,6.7
518,34,641,17158,0.793,26.8,8.9,2.5
519,7,776,18043,0.714,23.3,8.9,2.8
520,41,70,780,0.605,11.1,1.9,2.8
521,6,326,11561,0.8,35.5,18.8,4.3
522,36,403,6826,0.661,16.9,7.6,3.9
523,37,91,867,0.685,9.5,3.2,1.6
524,14,249,5037,0.741,20.2,10,2
525,47,26,325,0.794,12.5,5,1.5
526,26,19,86,0.462,4.5,2.1,1
527,46,215,2428,0.642,11.3,2.6,3.2
528,51,42,244,0.806,5.8,1.9,0.4
529,,,,,,,
530,40,51,671,0.8,13.2,3.2,2.3
531,6,154,3675,0.866,23.9,11.8,3.5
532,40,7,24,1,3.4,1.4,0.9
533,56,6,29,1,4.8,0.8,0.7
534,6,220,5732,0.625,26.1,9.4,7.2
535,1,402,13967,0.795,34.7,23.3,10.3
536,10,400,9630,0.651,24.1,9.3,2
537,46,176,3196,0.864,18.2,5.1,1.6
538,45,75,888,0.629,11.8,3.5,3
539,11,337,3386,0.738,10,3.1,3.4
540,21,624,18451,0.854,29.6,12.7,2.6
541,27,503,8945,0.765,17.8,6.5,3.5
542,13,231,3049,0.584,13.2,3.9,2.3
543,12,292,3378,0.582,11.6,3,2.6
544,15,75,705,0.39,9.4,2.2,1.9
545,43,26,172,0.556,6.6,1.9,0.7
546,4,887,31338,0.868,35.3,18.7,4.5
547,33,758,16410,0.832,21.6,8.7,4.5
548,18,951,25763,0.732,27.1,12.6,3.2
549,18,1025,29023,0.817,28.3,13.6,6.4
550,48,11,55,0.6,5,1,1
552,8,72,1513,0.721,21,5.7,2.1
553,44,38,327,0.714,8.6,2.9,1.4
554,4,186,5764,0.804,31,17.8,7.1
555,34,56,801,0.75,14.3,4.3,2.2
556,51,2,6,,3,3,0.5
557,24,334,8326,0.808,24.9,12.1,2.4
558,48,69,1089,0.688,15.8,3.6,2.3
559,17,384,9737,0.763,25.4,7.3,3.4
560,38,5,24,0.5,4.8,1.6,0.2
561,39,255,6010,0.666,23.6,6.8,4.3
562,8,409,7692,0.699,18.8,7.9,5.8
563,6,479,14937,0.865,31.2,15.4,4.7
564,23,583,18144,0.769,31.1,13.6,5.4
565,20,221,3064,0.542,13.9,4,3.5
566,29,189,2771,0.599,14.7,3.9,1.8
567,8,847,19299,0.823,22.8,9,4.6
568,30,829,24293,0.772,29.3,13.5,8.8
569,54,16,93,0.875,5.8,2.8,1.2
570,43,936,27632,0.723,29.5,10.5,4.8
571,9,233,3610,0.689,15.5,6.5,4.5
572,30,64,632,0.676,9.9,3.4,2.2
573,39,1,3,,3,0,0
574,7,919,24630,0.661,26.8,11.7,6.2
575,22,205,3318,0.659,16.2,5.6,4
576,39,61,446,0.795,7.3,3.2,0.7
578,21,57,708,0.9,12.4,2.9,0.8
579,14,104,1513,0.75,14.5,5.6,1.7
580,48,29,159,0.55,5.5,1.9,1.2
581,21,52,557,0.58,10.7,4.4,3.5
582,29,73,1054,0.217,14.4,2.5,2.5
583,12,380,9620,0.571,25.3,8.7,6.9
584,29,165,2396,0.7,14.5,6.3,2
585,32,137,2084,0.886,15.2,5.3,1.4
586,28,143,1675,0.66,11.7,3.4,1.8
587,26,302,5238,0.738,17.3,5,2
588,3,681,23029,0.855,33.8,23,5.1
589,25,182,2896,0.81,15.9,7.1,1.9
590,4,741,25428,0.814,34.3,23,6.6
591,24,672,19415,0.762,28.9,12,7.2
592,32,8,20,0,2.5,1,0.4
593,56,25,95,0.455,3.8,0.9,1
594,2,763,28357,0.882,37.2,27.1,7.1
595,31,513,11524,0.785,22.5,10.8,4.9
596,35,514,10865,0.7,21.1,8,4.4
597,10,47,260,0.589,5.5,2.2,1.6
598,25,473,7262,0.678,15.4,4.7,3.9
